CATEG,,,ALL,,SOURCE,
A,B,C,1,,COCA:2012:BLOG freethoughtblogs.com,"  0%:  / 100  . Might have to wait awhile. # When people suggest that I should be "" tolerant "" towards their "" hate the sin, love the sinner "" bullshit, I really need to bring shit like this up not just that there are people who don't want queer people to get married, as if that wasn't enough! There are n't enough! There are hateful people out there who want to see us dead. They want to steal our children. There is not enough hyperbole in the world to rival this. I ca n't even straw man that. It's"
A,B,C,2,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  concerned, and the west is so pathologically obsessed with reproduction and heteronormativity, that anything that is immaterial for reproduction is negated by the west and is classified as a disease. Not surprising that even something as common disease by the west and even bisexuality is seen as queer. # Your opinion that '' transsexualism '' is a kind of genetic anomaly a kind of genetic anomaly or "" born in wrong body "" is totally a product of this fantatic western mindset that categorizes humans into man or women. I can vouch for it that there is no such thing as "" transsexualism "" in"
A,B,C,3,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  these factors are on/off switches (binary), the totality will not be binary. # This means that even if the majority of people for evolutionary reasons will cluster close to the male and female poles, a . # This leads to the existence of the gender queer, people who do not easily identify with one gender or the other, gender or the other, or for that matter: one sex or the other. # It seems to me that much of the conflict in the transgender arena is caused by the mix up of such categories. # A transsexual woman is"
A,B,C,4,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  human genders in more ideal societies closest to nature! # "" However, that does not mean the other varieties of transgenders do n't have a female inside as well, if not complete, partial. "" # . # I mentioned the existence of the '' gender queer '', people who do not easily identify with one gender or the other one gender or the other, or for that matter: one sex or the other. # I guess you could say that they represent a third (or fourth or fifth...) alternative. # However, in addition to this group"
A,B,C,5,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  both sex and gender, there are those who for social, practical or personal reasons are forced to live in the "" the grey zone "", but who fully identify with one sex or the other. # to classify them together with those who identify as gender queer. # I am afraid that this will generate even more animosity and anger even more animosity and anger. For most transsexual women the struggle has been to be recognized as women. To be categorized as neither man nor woman is not helpful in that respect. # In other words: You and I do not"
A,B,C,6,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  over into the realm of the feminine. That is still taboo for gynephilic men.Gay effeminate men have also a hard time gaining acceptance, even in homosexual circles. # The liberation of women and homosexual men and women that identified them as persecuted groups. # The gender queer, the transgender, the crossdressers and the crossdreamers are invisible to most, are invisible to most, as there are no words that help people understand who they are. # The Navaho's had a term that helped such people find a voice: "" twin spirited "". You have given other examples. But"
A,B,C,7,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  ago. "" In one way the Western cultures have come some way towards realizing this goal..... We do not necessarily make new terms for these people. They are still classified as men and women in the minds an increasing acceptance. '' # AND '' The gender queer, the transgender, the crossdressers and the crossdreamers are invisible to most, are invisible to most, as there are no words that help people understand who they are. "" # The acceptance of women in male roles is an acceptance of gender-role flexibility.It means men being allowed to be less macho and women being allowed"
A,B,C,8,,COCA:2012:BLOG crossdreamers.com,"  0%:  / 100  adequate male identity-he may be tender and soft.Feminine gendered males may NOT be tender and soft, but still have a part female identity and that is the reason why they feel like having a separate identity from other men gendered males who are attracted to men and the '' queer heterosexuals '', ie., feminine gendered males attracted to women. Also, to women. Also, there would be no "" transsexual women "" had there been all kinds of male femininity recognized as residing inside a male body, in a healthy manner. You see, a female brain inside a male body has"
A,B,C,9,,COCA:2012:BLOG sugarbutch.net,"  0%:  / 100  for the lusts of this world because You 3270501 Protected: I do n't want to tell you these things. # If you're new here, contains BDSM, kink, gender explorations, and explicit queer sex. You may want to subscribe to my RSS feed, Twitter, RSS feed, Twitter, Facebook, or not. This warning will self-destruct. # This post is password protected. To view it please enter your password below: Greetings! # I'm Sinclair Sexsmith, the kinky queer butch top"
A,B,C,10,,COCA:2012:BLOG sugarbutch.net,"  0%:  / 100  explorations, and explicit queer sex. You may want to subscribe to my RSS feed, Twitter, Facebook, or not. This warning will self-destruct. # This post is password protected. To view it please Greetings! # I'm Sinclair Sexsmith, the kinky queer butch top behind this site. I'm a writer, storyteller, and writer, storyteller, and performer who studies critical feminist &; gender theory, sexual freedom, social change activism, archetypes, and the tantric and buddhist spiritual systems. I am currently based in New York City. More about me? #"
A,B,C,11,,COCA:2012:BLOG sugarbutch.net,"  0%:  / 100  the tantric and buddhist spiritual systems. I am currently based in New York City. More about me? # Sugarbutch Chronicles is an online writing project (aka "" blog "") which explores sovereignty, healing, of sex, gender, and relationships, while celebrating queer sexuality, gender, culture, and identity in ways that are ways that are 3260660 Zen is Going to Hell and It's the Boomers' Fault! # Before I really get into this voice, first let me praise the Boomers for"
A,B,C,12,,COCA:2012:BLOG sexandjets.com,"  0%:  / 100  current state of health insurance has also resulted in a bunch of marriages of convenience (as well as in couples who ca n't afford to get divorced, even if they're ready to). # Over 50% , and as a result, cultures are cross-pollinating: queer couples are starting to claim the legal benefits of traditional relationships, and straight traditional relationships, and straight couples are becoming more familiar with alternative relationship models. # The availability of birth control and no-fault divorce have given people more control over the structure of their families. # It was useful to think of my own"
A,B,C,13,,COCA:2012:BLOG sexandjets.com,"  0%:  / 100  ), but at the same time, I'm not willing to consider marriage until I've met my own standards for financial independence. Bringing financial security to my relationship is just as important to me as having I also know that I've been heavily influenced by queer culture. Being able to build a '' chosen family '' and have negotiable family "" and have negotiable relationship agreements are a part of how I see the world now, and I'll probably carry those values wherever I go. So Many Senses # Another session I attended was the "" Anatomy of Pleasure """
A,B,C,14,,COCA:2012:BLOG sarahbessey.com,"  0%:  / 100  like "" yes! Exactly! That's what I meant. "" # http: //www.marydemuth.com Mary DeMuth # Woot! # http: //www.mamabean.ca Mama Bean # When I was exploring how to be gay-affirming and feminist and discussions on facebook and tumblr with two friends, both queer, feminist, and atheist (one male, one female). They one female). They were patient with me, we were curious about each other, and we all learned a lot. # http: //www.marydemuth.com Mary DeMuth # I think having that posture of "" I want to learn from you;"
A,B,C,15,,COCA:2012:BLOG sefijaonline.com,"  0%:  / 100  his own. Now he's part of the new Jennifer Lawrence/Bradley -- click here to read more? # If you missed Jai Rodriguez on the KTLA Morning News, you can watch it below. Its a fun and the rest of the KTLA gang. Jai of Queer Eye for the Straight Guy is now -- click here to read more? here to read more? # Congrats to Mario Lopez! Not only is he hosting Extra and X-Factor, but now NUVOtv has ordered up eight more editions of his intimate talk show, One On One. The next new"
A,B,C,16,,COCA:2012:BLOG ...documentaryfilms.com,"  0%:  / 100  's has Hauled in and The Death's of America's Hardest working Firemen, Policemen and Worker's of All Type's that are Now Dead that They Have Caused and Oh Yah, Do n't forget Obama Stating He like's to Say.. He is ALL For Queer's Getting Legally Married Now.. This IS An Abomination To God Almigjhty! Abomination To God Almigjhty!!! It Will All Come Out Very Soon.. Just wait, Watch and See Jesus is Coming Soon.. It's Right in the Book People Please.. Take note of What I'm Saying &; Remember Salvation"
A,B,C,17,,COCA:2012:BLOG amptoons.com,"  0%:  / 100  opponents, and overcame the historical weight of decades of bigotry, to vote for equality. Equal laws, not separate and unequal. Equal citizenship, not second-rate citizenship. Equal rights. # When I think of I was born, and compare it to the world queer children are born into now, it amazes me that things have gotten so that things have gotten so much better in such a short time. I am an atheist, and still I tell you, it is the most miraculous thing I have ever witnessed. # The other three marriage measures (in Maryland,"
A,B,C,18,,COCA:2012:BLOG auntiepixelante.com,"  0%:  / 100  people to draw portraits of boners and we assembled a gallery on the walls of the tent. every time someone came over to ask what was up with all the boners, she told them something different: "" male gaze, '' '' it's about making a queer safe space, '' '' we just like boners. '' (all are true "" (all are true.) # the games that i ended up running were: # dildo tank by jazzuo (hosted by me for the time being; jazzuo's site is down) # the tent was really bumping! then"
A,B,C,19,,COCA:2012:BLOG lesswrong.com,"  0%:  / 100  advise, and a lot of "" dating "" advice for het men seems to advise ways of neutralizing) is mostly a female thing, and gay guys simply should n't bother. # I have no particular reason , though. In fact, I've seen enough queer men fascinated by the '' is he or isn't he? '' game n't he? "" game with respect to attractive men of unspecified orientation that I rather doubt it. (I do n't know if the analogous game is popular among queer women, though I'd be somewhat surprised if it were n't."
A,B,C,20,,COCA:2012:BLOG freethoughtblogs.com,"  0%:  / 100  'm male and more-or-less present myself as such. I almost always pass as white without effort, which neatly exempts me from implicit bias and awkward encounters. I'm bisexual, but atheists are overwhelmingly more accepting of at least *in principle*). # But from a queer perspective, and from the perspective of someone who has dated women who approach has dated women who approach relationships in a non-stereotypical way, there are still so many common-yet-bizarre myths and bad attitudes floating about in the atheist community, and these have been disturbing to watch even as a man who did n't express much in"
A,B,C,21,,COCA:2012:BLOG freethoughtblogs.com,"  0%:  / 100  me to see women whose well-being I care about being targeted for threats and harrassment. It shames me that, as a man, I'm implicitly expected to agree with these ideas I find repulsive. It worries the very same attitudes that have been used to oppress queer people. It's disquieting to see how very much certain people, who much certain people, who believe racism is largely solved, sound racist. And it's depressing to realize that sometimes we do n't seem to have much of an international "" game plan "", a way to deal with the fact that"
A,B,C,22,,COCA:2012:BLOG freethoughtblogs.com,"  0%:  / 100  do n't already see in your ranks. Women of color (including indigenous women!), women living in poverty, mothers, disabled women (with a variety of disabilities, who can have input on different , physical gatherings, etc.), trans women, queer women, pink collar workers. Don't just invite them -- find ways invite them -- find ways to support them so that they can (and will want to) participate. # And as you're growing the number of people, consider this: In male-dominated arenas, there is a point at which there"
A,B,C,23,,COCA:2012:BLOG freethoughtblogs.com,"  0%:  / 100  You can and should work as much as you are able, given your individual situation, for economic equality; however, to fight for economic equality is also to fight for racial and gender equality because poverty disproportionately . To fight for gender equality is to fight for queer equality and trans equality, because gender equality requires gender expression and sexuality to gender expression and sexuality to be liberated. To fight for racial equality is to fight for immigrant rights and the rights of indigenous peoples because race is more than black and white, and immigrants and indigenous peoples are harmed by racism as well"
A,B,C,24,,COCA:2012:BLOG amptoons.com,"  0%:  / 100  So it goes; I'm sure a new definition of legitimacy will be forthcoming from NOM shortly. Same-sex couples will never be good enough to marry, in NOM's view, and hurdling their arbitrary thresholds has Many SSM proponents say that it's an insult to queer people's dignity for their rights to have to be voted on at all be voted on at all. I agree with that. And yet... I see it as a necessary and unavoidable insult. I do n't believe in natural rights. Rather, I believe that we have the rights that our governments recognize"
A,B,C,25,,COCA:2012:BLOG amptoons.com,"  0%:  / 100  fellow citizens that we have. # So although I recognize that it is, it absolutely is, an insult to dignity that rights are voted on, I also recognize that the heart of this system is persuasion country in which queers were almost always reviled, and queer rights nonexistent. How do we make that into a better country? I a better country? I ca n't imagine a better system for change than persuasion, even thought it's wrong that queers had to ask for rights at all. As Churchill famously said, "" Democracy is the worst form of government except"
A,B,C,26,,COCA:2012:BLOG amptoons.com,"  0%:  / 100  "" Soap "" seemed shocking -- sure, he was written apologetically, and the writers could n't wait to turn him straight, but that he was presented sympathetically at all was revolutionary. # There's a zillion : Look how we've changed. Look at how queer children were once taught that they were fundamentally disgusting and unworthy of love, and unworthy of love, which is, I am convinced, absolutely the cruelest thing to do to any person, a wound that festers in people for decades, or lifetimes, and a wound that can easily be mortal. That still"
