CATEG,,,ALL,,SOURCE,
A,B,C,1,,COCA:2016:SPOK NPR_FreshAir,"  0%:  / 100  it? JOEL-GREY# Yes. Yes. And so I did n't know quite what I was because I was very busy in high school sleeping with girls and having kind of torrid affairs with women. So I did But I did get the idea that if I was queer, forget about a career. Forget about mother, first. And then , first. And then forget about a career. DAVE-DAVIES# Terry Gross speaking with Joel Grey in February. His memoir is called "" Master Of Ceremonies. "" After a break, we'll hear about his decision as a young man to"
A,B,C,2,,COCA:2016:SPOK NPR_FreshAir,"  0%:  / 100  those. Yes. We gave - what do you call them like oven mitts? - featuring quotes from "" Brokeback Mountain "" to Tina Fey. So one of them said you do n't come up here to . BILLY-EICHNER# And another one said I ain't no queer, which is lovely on an oven mitt. TERRY-GROSS# So I keep thinking as So I keep thinking as although what you do on the street is hilarious, if I saw - if I did n't know who you were and I saw you coming at me with a mic, I would turn and run in the"
A,B,C,3,,COCA:2016:SPOK NPR_FreshAir,"  0%:  / 100  it? JOEL-GREY# Yes, yes. And so I did n't know quite what I was because I was very busy in high school sleeping with girls and having kind of torrid affairs with women. So I did But I did get the idea that if I was queer, forget about a career. Forget about mother first, and then forget first, and then forget about a career. TERRY-GROSS# My guest is Joel Grey. His new memoir is called "" Master Of Ceremonies. "" After we take a short break, we'll talk about his decision as a young man to"
A,B,C,4,,COCA:2016:FIC Bk:SkeletonPlot,"  0%:  / 100  school, their group, but Damon knew that Billy was sad about it. # Damon rather liked that word' poofter', even though he knew that it was only offered to him as an insult. and had a real ring to it, unlike' queer' and' bumboy' and the other assorted epithets. They were merely epithets. They were merely vulgar and easy, but' poofter' had a certain impact and distinction. # But he knew he was only distracting himself with that thought. As he pedalled nearer to his grandparents' bungalow, he was"
A,B,C,5,,COCA:2016:FIC Bk:UncleAbner,"  0%:  / 100  woman looked out at him. She was a little, faded woman, with fair hair, a broad foreign face, but with the delicate evidences of gentle blood. # Abner repeated his question. # "" '' Oh, sir, '' she answered with a queer lisping accent, '' he went to lie down in his south room after in his south room after his midday meal, as his custom is; and I went to the orchard to gather any fruit that might be ripened. "" She hesitated and her voice lisped into a whisper: "" He is not come"
A,B,C,6,,COCA:2016:FIC Bk:UncleAbner,"  0%:  / 100  girl plucked yellow flowers out of the grass and put them into her hair. Then finally the stranger gave the old man a gold chain and took the little girl away. "" She flung up her hands. to kill him! '' She looked up with a queer, pathetic smile. # '' The old man will be gone by now will be gone by now, "" she said; "" but I shall perhaps find the wall there, with the sun on it, and the yellow flowers in the grass. And now, may I go? "" # It is"
A,B,C,7,,COCA:2016:FIC FantasySciFi,"  0%:  / 100  to the bank on account of back taxes, some of the menfolk dug up the grave and they scattered that gypsy's bones about the land. This was the way a place was kept long ago. And hand scraped across the bone. '' It's a queer story, '' he said. '' But a family has got to do family has got to do hard things to keep itself together. Elsewise, the world will have them and they will scatter like gypsy bones. No place will hold or hide them. "" # He quieted for a moment. The wind"
A,B,C,8,,COCA:2016:MAG Bleacher Report,"  0%:  / 100  he was already drunk, you know like spaghetti legs. "" # Uh, OK. Good luck, Jean. # Kovalev had some sloppy moments against Pascal, but he dropped him in Round 3 and stopped hands in Round 8, leaving the former champ on queer street. Both the knockdown and knockouts were the first of Pascal's career first of Pascal's career. # The former champ looked pedestrian in struggling to what many felt was a gift decision over Yunieski Gonzalez in his most recent fight last July, which does n't seem to bode well for his chances against an"
A,B,C,9,,COCA:2016:MAG Salon,"  0%:  / 100  continue fighting for our reproductive rights is disheartening, "" Leathers said. # Porn legend Nina Hartley referred to the election results as a "" disaster "" during her interview with the publication. # There's also a to go after marginalized groups will hinder the development of queer porn, a fast-growing porn genre. Venus Lux told the Daily Beast, told the Daily Beast, "" As a sex worker, as a woman of color, as a transgender, I do n't have as many options as another person. "" She added, "" There's so much misogyny already when it"
A,B,C,10,,COCA:2016:MAG Mashable,"  0%:  / 100  But based on the way Westworld episode 3, "" The Stray "" just ended, it seems the theory has been shot down. # Dolores opened the episode by heading down the rabbit hole with Bernie, reading Adventures in Wonderland. '' Dear, dear, how queer everything is today... I wonder if I've changed in the night? changed in the night? "" She's been toying through the first three episodes with going against her code, urged along by the mysterious voice -- a voice we now know belongs to a character named Arnold -- and at the end of"
A,B,C,11,,COCA:2016:MAG Gizmodo,"  0%:  / 100  another woman for longer than 5 seconds. # Advertisement # One fan would discover a new show and evangelize, and the others would follow. And also because, unlike m/m slash fiction, which is written by (primarily straight) women, femslash is written by queer women and for queer women. The group isn't just interested in one n't just interested in one particular character or set of characters, either. It's the commonalities these women experience -- an immediate bond that transcends the particulars of Greek mythology or doctor drama. Fuck Canon # "" Fan culture stands as"
A,B,C,12,,COCA:2016:MAG Gizmodo,"  0%:  / 100  than 5 seconds. # Advertisement # One fan would discover a new show and evangelize, and the others would follow. And also because, unlike m/m slash fiction, which is written by (primarily straight) women, femslash is written by queer women and for queer women. The group isn't just interested in one particular character or set one particular character or set of characters, either. It's the commonalities these women experience -- an immediate bond that transcends the particulars of Greek mythology or doctor drama. Fuck Canon # "" Fan culture stands as an open challenge to"
A,B,C,13,,COCA:2016:MAG Gizmodo,"  0%:  / 100  n't until the internet, and the instant connectivity with other fans, that fandom went mainstream, being a geek became cool, and femslash formed into the great migratory monolith it exists as today. But it was femslash on its path. # Advertisement Xena Makes Queer Gals Cool # Xena, and her plucky sidekick Gabrielle, somersaulted into fandom Gabrielle, somersaulted into fandom like a pair of rockets. Xena: Warrior Princess had the luxury of arriving on the scene at the perfect time. "" Girl Power "" was a phrase on everyone's lips, social mores had loosened enough"
A,B,C,14,,COCA:2016:MAG Gizmodo,"  0%:  / 100  Usenet. # It was a group of elements that just needed a spark. Xena kissing Gabrielle (even though she was in Bruce Campbell's body) was god damned ignition. That Xena was also one of helped, too. All the small disparate fandoms of queer women had a single banner to unite under, and a blond and brunette and a blond and brunette to ship like an Onassis. # They had a lot of creativity too, and immediately started churning out fanfic and fanart that even straight fans could enjoy. Then, late in the second season, the show"
