CATEG,,,ALL,,SOURCE,
A,B,C,1,,COCA:2007:FIC MassachRev,"  0%:  / 100  them the truth would require a conversation he does n't want to have, a small thing that becomes huge, like informing your spouse of twenty years she has horrible breath. Where do you find the words for lie sits like a pebble in his throat. The Queer Zoo (formerly the Alice West Same-Sex Animal Sanctuary) grew out of the ) grew out of the personal collection of homosexual animals gathered since 2002 by Alice West. In 20I2, Ms. West was persuaded by key members of the Arizona scientific research and tourism sectors to open her personal reserve to the public. Soon"
A,B,C,2,,COCA:2007:FIC MassachRev,"  0%:  / 100  about AIDS in Africa; chained themselves to a cosmetics counter at Macy's in protest of animal testing. Now she's a Ranger at Kartchner Caverns State Park in Benson. She spends hours of each day in around in the dark. Sam points out that the Queer Zoo's security system is state-of-the-art, designed to dissuade and to capture religious dissuade and to capture religious fundamentalists. Besides, Bonobo pheromones ca n't be all that easy to find.Teri snorts, and scrapes her chair away from the table. It is a thrift store chair that she painted red. On the seat and"
A,B,C,3,,COCA:2007:FIC MassachRev,"  0%:  / 100  , and scrapes her chair away from the table. It is a thrift store chair that she painted red. On the seat and back she shellacked images of Frida Kahlo paintings cut from an old art book. . The Alice West Animal Sexuality Research Institute at the Queer Zoo brings biologists, sexologists and animal behaviorists to the Zoo from four corners the Zoo from four corners of the globe. The Institute hosts the annual HomoScience Conference on-site at the Alice West Convention Center and Resort. Last year the conference welcomed more than twelve hundred scholars, scientists, activists and media representatives. Alice"
A,B,C,4,,COCA:2007:FIC MassachRev,"  0%:  / 100  easy, "" Alice says. She tips a wheelbarrow caked with green crap on its side. "" Get with whats-his-name. He's waiting to hear from you. "" Sam keeps one eye on Alice and reads animal sexuality research. Sam has been employed at the Queer Zoo longer than anyone else on staff. Alice hired him when he was hired him when he was in college to help her care for what was then just a personal menagerie. Before there was a board of directors, a human resources manual. Back when it was just Alice and her regard for the animals"
A,B,C,5,,COCA:2007:FIC MassachRev,"  0%:  / 100  without undergoing comprehensive study; currently a suspected heterosexual female is part of the collection at the Beijing Zoo; however zookeepers appear uninterested in pursuing a science inquiry of her case. Unknown others are surely in captivity all ago, a heterosexual female Bonobo was born at the Queer Zoo. Despite sustained observation, she has never been seen engaging in same-sex been seen engaging in same-sex behavior, nor does she exhibit any of the strongly female-identified bonding behaviors universal to her sex. She is a rare discovery indeed. Sam's screenplay is about a middle-aged guy who works at a zoo. The"
A,B,C,6,,COCA:2007:FIC MassachRev,"  0%:  / 100  many levels throughout the screenplay. Recently he tried to work on the script after having smoked an inordinate amount of weed. In the light of day it all turned out to be crap. Teri is on the Exuberance: Third Edition, the seven-hundred-page bible of the queer zoology field. The house is warm; it's monsoon season and the 's monsoon season and the swamp coolers ca n't handle the humidity. She wears a sports bra and stretch shorts. "" It says here- "" Sam notices she's reading the tiny print of the endnotes- "" that scientists trying to determine whether"
A,B,C,7,,COCA:2007:FIC MassachRev,"  0%:  / 100  a non-siblinglike kiss on her extraordinary Cherokee lips. He approaches Teri, goes to embrace her with all the joy and exuberance contained in his stoned heart, but she's turned her back, already moving away two the New Science Foundation and under the direction of the Queer Zoo's chief primate zookeeper, a team of animal behavioralists and zoologists at animal behavioralists and zoologists at the Alice West Animal Sexuality Research Institute propose to perform a comprehensive study of the heterosexual Bonobo female in an effort to discover the reasons for her pathological heterosexuality. She will undergo a series of tests to analyze her"
A,B,C,8,,COCA:2007:FIC MassachRev,"  0%:  / 100  says. "" I'm not rucking going to sleep. "" But she is n't kidding. She really is done. Sam watches the rise and fall of her back, expecting her to turn over, eyes . His desire for it is weirdly strong. Tlte Queer Zoo enjoys a stellar reputation among zoologists, animal-rights activists, the LGBT community activists, the LGBT community and the general public. Year after year, our inhabitants score at least ten percentage points higher on independent evaluative physical exams than the national average for animals in captivity. From our spacious habitats-considered among the most humane"
A,B,C,9,,COCA:2007:FIC MassachRev,"  0%:  / 100  , the LGBT community and the general public. Year after year, our inhabitants score at least ten percentage points higher on independent evaluative physical exams than the national average for animals in captivity. From our spacious habitats-considered Western Hemisphere-to our clean and comfortable research facilities, the Queer Zoo is above all preoccupied with ensuring the health and happiness of the animals and happiness of the animals in our care. Teri is n't in their bed the next morning. When Sam arrives at work there's a recreational vehicle in the parking lot upon which a bedsheet banner hangs: Stop Animal Exploitation at the"
A,B,C,10,,COCA:2007:FIC MassachRev,"  0%:  / 100  the Queer Zoo is above all preoccupied with ensuring the health and happiness of the animals in our care. Teri is n't in their bed the next morning. When Sam arrives at work there's a recreational vehicle a bedsheet banner hangs: Stop Animal Exploitation at the Queer Zoo! Four people are atop the RV; one is Teri. At one is Teri. At her side are three women Sam has never seen before. Teri plants her feet and looks down at him. The RV sways, slightly. "" What are you doing? "" he says. As a question"
A,B,C,11,,COCA:2007:FIC MassachRev,"  0%:  / 100  fiftyish, butch-looking woman and her far younger girlfriend, seated in matching lawn chairs. A box of Krispy Kremes and an oversized thermos sits on an aluminum cocktail table between them. Ten's third companion is a a pair of plastic monkey ears Sam recognizes from the Queer Zoo s gift shop. She wields a large and artfully painted sign that and artfully painted sign that says Free Bixby. He points to the zoo's administration office. "" Everyone in there knows you, "" he says. "" I'll get fired. "" "" It's not my job to look after"
