CATEG,,,ALL,,SOURCE,
A,B,C,1,,COCA:2012:WEB amazon.com,"  0%:  / 100  So much care, energy and informed expertise has gone into making this series that they demand repeat viewings. Tons of valuable archival footage is combined with living treasures speaking from personal experience. # Men and women are change people of colour are given a strong voice. Queer youth are seldom adequately represented in media, but '' Generation Q '' deals "" Generation Q "" deals with their real life &; death issues and needs and calls for older queer activists to have the guts to fight in support of queer youth rights (rather than cowering in paranoid fear of paedophilic accusations). #"
A,B,C,2,,COCA:2012:WEB amazon.com,"  0%:  / 100  living treasures speaking from personal experience. # Men and women are equally represented - and for a change people of colour are given a strong voice. Queer youth are seldom adequately represented in media, but "" Generation life &; death issues and needs and calls for older queer activists to have the guts to fight in support of queer youth rights ( of queer youth rights (rather than cowering in paranoid fear of paedophilic accusations). # The Question Of Equality provides the best quality entertainment while informing and empowering viewers to be proactive in improving their own lives and those of future generations."
A,B,C,3,,COCA:2012:WEB amazon.com,"  0%:  / 100  are equally represented - and for a change people of colour are given a strong voice. Queer youth are seldom adequately represented in media, but "" Generation Q "" deals with their real life &; death issues and activists to have the guts to fight in support of queer youth rights (rather than cowering in paranoid fear of paedophilic accusations). of paedophilic accusations). # The Question Of Equality provides the best quality entertainment while informing and empowering viewers to be proactive in improving their own lives and those of future generations. # Just as relevant now (2005) as it was"
A,B,C,4,,COCA:2012:WEB amazon.com,"  0%:  / 100  undated version made now or even 5 years from now. But this is very good. VERY GOOD! # A perfect introduction to gay, lesbian, bisexual, and transgender history (from Stonewall to' Do '). A must see for all interested in queer studies and those who simply want to know more about their neighbors, friends about their neighbors, friends, 760463 Heh: Brown Says Kerry Would be an "" Excellent "" Choice for Secretary of State Click if you like this post! # Outgoing"
A,B,C,5,,COCA:2012:WEB captainawkward.com,"  0%:  / 100  portray us all like friendless nerds who constantly insult people, which is n't true for most aspies. I'm in med school and I really like reading. An aspie friend of mine is on her way to friend of mine is really into art and philosophy and queer politcs. Yet another aspie friend of mine is really into getting drunk and really into getting drunk and partying. People are different, including people with Aspergers. # If you do n't have a therapist, it sounds like you should get one. If you do, have you brought up the way you feel"
A,B,C,6,,COCA:2012:WEB bartleby.com,"  0%:  / 100  first place it was strange and beautiful with its mass of luxuriant tropic jungle, with the treacherous tropic rivers trailing here and there through it; and it was lovely to see the orchids and brilliant butterflies and the , and finally the strange old Spanish towns and the queer thatch and bamboo huts of the ordinary natives. In the next place it In the next place it is a tremendous sight to see the work on the canal going on. From the chief engineer and the chief sanitary officer down to the last arrived machinist or time-keeper, the five thousand Americans at work on the"
A,B,C,7,,COCA:2012:WEB ...dingharry.tumblr.com,"  0%:  / 100  . As this document shows, the police and military have frequently attacked peaceful demonstrators since then. The government of the Maldives has a responsibility under its Constitution to prevent the country Homo num revelio! # Harry Potter blog with a queer slant, exploring realms both serious and Sirius, overt and subtextual, canonical overt and subtextual, canonical and fanatical. The best discussions, of course, involve your questions and collaboration. Note well, I sail with Wolfstar. # Disclaimer: This blog participates in the grand tumblr tradition of sharing and remixing."
A,B,C,8,,COCA:2012:WEB freethoughtblogs.com,"  0%:  / 100  dismissal of the effect of one's actions. Why, I ask rhetorically, would anyone suppose that their ignorance constitutes a defensible position? # Oh yeah, because people can afford to ignore the law in this concerns women, the poor, persons of color and queer people, who can not afford to bring their harassment to the court's harassment to the court's attention. # It exists, and you are responsible as employees, employers, students and/or citizens to find out about it. It's not my nor any other persons responsibility to fulfill the social, legal and"
A,B,C,9,,COCA:2012:WEB ...rthside.blogspot.com,"  0%:  / 100  fate quivering at the edge of actualization behind the velvet.... # And yet it connects to my master not at all. # There can be but one explanation: the galaxy prepares for my ascension. The fulfillment 20050514 Darth Sidious: People Person # Something queer is afoot. I am uneasy. # Light lunch. Meeting a fan lunch. Meeting a fan. Brisk, cool audience with the Emperor of the Galaxy. # The day began with a tedious set of inter-departmental meetings debriefing the operational tests we have conducted on this battle-station's systems over the past few days"
A,B,C,10,,COCA:2012:WEB sojo.net,"  0%:  / 100  did n't become desensitized because I could see the horror in their faces. # Taking careful field notes was helpful too. I was counting, How many times did they say "" fag "" today? Putting my people church members were sending to hell -- Catholics, queer people, soldiers -- was helpful: That person he's talking about, he's talking about, that's my friend Karen, my friend Alicia. We've learned that if you know someone who is gay or lesbian, you're less likely to be homophobic. When you put a face to this hatred"
A,B,C,11,,COCA:2012:WEB ...icipant.blogspot.com,"  0%:  / 100  have myself been married 4 times (and still have a patient lady in my life) and to me the pictures above say all that needs to be said. # The top picture is of the girlfriend, and his wife of 37 years. Petraeus would be queer if he didn't leap at the younger woman's availability. He would 's availability. He would have to be superhuman to have resisted the temptation. But the security risks of extra-marital liasons are well-known (vide the Profumo affair in Britain) so he had to be dismissed from his very sensitive job. That"
